age_group,sex,period,people,period_start,period_end,period_type,classification,source_table,note,source_id,source_publication_date,source_url,retrieved_at,review_status
17 and under,All,2018,25,2018-01-01,2018-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,All,2019,308,2019-01-01,2019-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,All,2020,1449,2020-01-01,2020-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,All,2021,4321,2021-01-01,2021-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,All,2022,8161,2022-01-01,2022-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,All,2023,5253,2023-01-01,2023-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,All,2024,5430,2024-01-01,2024-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,All,2025,5629,2025-01-01,2025-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,All,Year ending June 2025,5515,2024-07-01,2025-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,All,Year ending June 2026,4993,2025-07-01,2026-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Male,2018,16,2018-01-01,2018-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Male,2019,207,2019-01-01,2019-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Male,2020,1089,2020-01-01,2020-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Male,2021,3347,2021-01-01,2021-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Male,2022,6400,2022-01-01,2022-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Male,2023,4312,2023-01-01,2023-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Male,2024,4306,2024-01-01,2024-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Male,2025,4343,2025-01-01,2025-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Male,Year ending June 2025,4335,2024-07-01,2025-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Male,Year ending June 2026,3863,2025-07-01,2026-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Female,2018,9,2018-01-01,2018-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Female,2019,101,2019-01-01,2019-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Female,2020,360,2020-01-01,2020-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Female,2021,925,2021-01-01,2021-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Female,2022,1671,2022-01-01,2022-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Female,2023,938,2023-01-01,2023-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Female,2024,1124,2024-01-01,2024-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Female,2025,1286,2025-01-01,2025-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
