source_id,publication_date,table,locator,year,people,boats,pinned_people,pinned_boats,diff_people,diff_boats,monthly_values_identical_to_pinned,kind
HO-TABLES-2021Q4,2022-02-24,Irr_02a,Irr_02a 2018 annual Total (monthly sums verified),2018,299,43,299,43,0,0,True,official_table
HO-TABLES-2021Q4,2022-02-24,Irr_02a,Irr_02a 2019 annual Total (monthly sums verified),2019,1843,164,1843,164,0,0,True,official_table
HO-TABLES-2021Q4,2022-02-24,Irr_02a,Irr_02a 2020 annual Total (monthly sums verified),2020,8466,641,8466,641,0,0,True,official_table
HO-TABLES-2021Q4,2022-02-24,Irr_02a,Irr_02a 2021 annual Total (monthly sums verified),2021,28526,1034,28526,1034,0,0,True,official_table
HO-TABLES-2022Q4,2023-02-23,Irr_02a,Irr_02a 2018 annual Total (monthly sums verified),2018,299,43,299,43,0,0,True,official_table
HO-TABLES-2022Q4,2023-02-23,Irr_02a,Irr_02a 2019 annual Total (monthly sums verified),2019,1843,164,1843,164,0,0,True,official_table
HO-TABLES-2022Q4,2023-02-23,Irr_02a,Irr_02a 2020 annual Total (monthly sums verified),2020,8466,641,8466,641,0,0,True,official_table
HO-TABLES-2022Q4,2023-02-23,Irr_02a,Irr_02a 2021 annual Total (monthly sums verified),2021,28526,1034,28526,1034,0,0,True,official_table
HO-TABLES-2022Q4,2023-02-23,Irr_02a,Irr_02a 2022 annual Total (monthly sums verified),2022,45755,1109,45774,1110,-19,-1,False,official_table
HO-TABLES-2024Q4,2025-02-27,Irr_02a,Irr_02a 2018 annual Total (monthly sums verified),2018,299,43,299,43,0,0,True,official_table
HO-TABLES-2024Q4,2025-02-27,Irr_02a,Irr_02a 2019 annual Total (monthly sums verified),2019,1843,164,1843,164,0,0,True,official_table
HO-TABLES-2024Q4,2025-02-27,Irr_02a,Irr_02a 2020 annual Total (monthly sums verified),2020,8466,641,8466,641,0,0,True,official_table
HO-TABLES-2024Q4,2025-02-27,Irr_02a,Irr_02a 2021 annual Total (monthly sums verified),2021,28526,1034,28526,1034,0,0,True,official_table
HO-TABLES-2024Q4,2025-02-27,Irr_02a,Irr_02a 2022 annual Total (monthly sums verified),2022,45774,1110,45774,1110,0,0,True,official_table
HO-TABLES-2024Q4,2025-02-27,Irr_02a,Irr_02a 2023 annual Total (monthly sums verified),2023,29437,602,29437,602,0,0,True,official_table
HO-TABLES-2024Q4,2025-02-27,Irr_02a,Irr_02a 2024 annual Total (monthly sums verified),2024,36816,695,36816,695,0,0,True,official_table
HO-TABLES-2025Q4,2026-02-26,IER_02a,IER_02a 2018 annual Total (monthly sums verified),2018,299,43,299,43,0,0,True,official_table
HO-TABLES-2025Q4,2026-02-26,IER_02a,IER_02a 2019 annual Total (monthly sums verified),2019,1843,164,1843,164,0,0,True,official_table
HO-TABLES-2025Q4,2026-02-26,IER_02a,IER_02a 2020 annual Total (monthly sums verified),2020,8466,641,8466,641,0,0,True,official_table
HO-TABLES-2025Q4,2026-02-26,IER_02a,IER_02a 2021 annual Total (monthly sums verified),2021,28526,1034,28526,1034,0,0,True,official_table
HO-TABLES-2025Q4,2026-02-26,IER_02a,IER_02a 2022 annual Total (monthly sums verified),2022,45774,1110,45774,1110,0,0,True,official_table
HO-TABLES-2025Q4,2026-02-26,IER_02a,IER_02a 2023 annual Total (monthly sums verified),2023,29437,602,29437,602,0,0,True,official_table
