year_or_period,period_start,period_end,published_value,source_id,locator,publication_date,calculated_people,calculated_boats,calculated_people_per_boat,calculated_rounded,matches_published_after_rounding,calculation_source,notes
2018,2018-01-01,2018-12-31,7,HO-2021-NARRATIVE,"Irregular migration to the UK, YE Dec 2021: text before Chart 2 ('2018 (7 people)')",2022-02-24,299,43,6.953488,7,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,
2018,2018-01-01,2018-12-31,7,HO-2022-NARRATIVE,"Irregular migration to the UK, YE Dec 2022: 'Number of boats and people per boat', text after Figure 3",2023-02-23,299,43,6.953488,7,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,
2018,2018-01-01,2018-12-31,7,HO-2023-NARRATIVE,"Irregular migration to the UK, YE Dec 2023: 'Number of boats and people per boat', text after Figure 4 ('only 7 per boat in 2018')",2024-02-29,299,43,6.953488,7,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,
2018,2018-01-01,2018-12-31,7,HO-2026Q2,"Illegal entry routes YE Jun 2026: section 2.2, text after Figure 3 ('7 people per boat in the YE December 2018')",2026-08-27,299,43,6.953488,7,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,
2019,2019-01-01,2019-12-31,11,HO-2021-NARRATIVE,"Irregular migration to the UK, YE Dec 2021: text before Chart 2 ('2019 (11 people)')",2022-02-24,1843,164,11.237805,11,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,
2019,2019-01-01,2019-12-31,11,HO-2022-NARRATIVE,"Irregular migration to the UK, YE Dec 2022: 'Number of boats and people per boat'",2023-02-23,1843,164,11.237805,11,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,
2020,2020-01-01,2020-12-31,13,HO-2021-NARRATIVE,"Irregular migration to the UK, YE Dec 2021: text before Chart 2 ('2020 (13 people per small boat)')",2022-02-24,8466,641,13.207488,13,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,
2020,2020-01-01,2020-12-31,13,HO-2022-NARRATIVE,"Irregular migration to the UK, YE Dec 2022: 'Number of boats and people per boat'",2023-02-23,8466,641,13.207488,13,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,
2020,2020-01-01,2020-12-31,13,HO-2023-NARRATIVE,"Irregular migration to the UK, YE Dec 2023: 'Number of boats and people per boat' ('only 13 in 2020')",2024-02-29,8466,641,13.207488,13,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,
2021,2021-01-01,2021-12-31,28,HO-2021-NARRATIVE,"Irregular migration to the UK, YE Dec 2021: text before Chart 2 ('In 2021, there were an average of 28 people per small boat')",2022-02-24,28526,1034,27.588008,28,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,
2021,2021-01-01,2021-12-31,28,HO-2022-NARRATIVE,"Irregular migration to the UK, YE Dec 2022: 'Number of boats and people per boat'",2023-02-23,28526,1034,27.588008,28,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,
2021,2021-01-01,2021-12-31,28,HO-2024-NARRATIVE,"How many people come to the UK irregularly?, YE Dec 2024: 'Number of boats and people per boat' ('compared to 28 in 2021')",2025-02-27,28526,1034,27.588008,28,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,
2022,2022-01-01,2022-12-31,41,HO-2022-NARRATIVE,"Irregular migration to the UK, YE Dec 2022: text after Figure 3 ('In 2022, there was an average of 41 people per small boat')",2023-02-23,45774,1110,41.237838,41,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,"Contemporaneous vintage counted 45,755 people and 1,109 boats for 2022 (later revised to 45,774 and 1,110)."
2022,2022-01-01,2022-12-31,41,HO-2023-NARRATIVE,"Irregular migration to the UK, YE Dec 2023: 'Number of boats and people per boat'",2024-02-29,45774,1110,41.237838,41,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,
2022,2022-01-01,2022-12-31,41,HO-2025,Illegal entry routes YE Dec 2025: section 2.2 ('41 in YE December 2022'),2026-02-26,45774,1110,41.237838,41,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,
2022,2022-01-01,2022-12-31,41,HO-2026Q1-NARRATIVE,Illegal entry routes YE Mar 2026: section 2.2 ('41 in the YE December 2022'),2026-05-21,45774,1110,41.237838,41,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,Page updated 16 July 2026.
2023,2023-01-01,2023-12-31,49,HO-2023-NARRATIVE,"Irregular migration to the UK, YE Dec 2023: 'Number of boats and people per boat' ('49 people per boat in 2023')",2024-02-29,29437,602,48.898671,49,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,
2023,2023-01-01,2023-12-31,49,HO-2024-NARRATIVE,"How many people come to the UK irregularly?, YE Dec 2024: 'Number of boats and people per boat' ('49 people per boat in 2023')",2025-02-27,29437,602,48.898671,49,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,
2024,2024-01-01,2024-12-31,53,HO-2024-NARRATIVE,"How many people come to the UK irregularly?, YE Dec 2024: 'Number of boats and people per boat' ('53 people per boat in 2024')",2025-02-27,36816,695,52.972662,53,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,
2024,2024-01-01,2024-12-31,53,HO-2025,Illegal entry routes YE Dec 2025: section 2.2 ('53 people per boat in YE December 2024'),2026-02-26,36816,695,52.972662,53,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,
2025,2025-01-01,2025-12-31,62,HO-2025,Illegal entry routes YE Dec 2025: section 2.2 ('62 people per boat in YE December 2025'),2026-02-26,41472,672,61.714286,62,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,
2026 January-June,2026-01-01,2026-06-30,,,No published figure found,,11884,182,65.296703,65,,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,Not published in any source reviewed (IER_02a has no average column; June 2026 narrative gives only the rolling YE June 2026 figure). Partial year; do not compare with full years.
Aug-Oct 2022,2022-08-01,2022-10-31,45,HO-2022-NARRATIVE,"Irregular migration to the UK, YE Dec 2022: 'Number of boats and people per boat' ('average of 45 people per small boat in these 3 months'; 518 boats)",2023-02-23,23528,519,45.333333,45,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,Contemporaneous vintage had 179 September 2022 boats (pinned: 180) and different Jul-Sep 2022 people figures.
YE Mar 2022,2021-04-01,2022-03-31,29,HO-2025Q1-NARRATIVE,"How many people come to the UK irregularly?, YE Mar 2025: 'Number of boats and people per boat' ('54 compared to 29 in the same period ending March 2022')",2025-05-22,31711,1107,28.645890,29,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,Page updated 25 June 2025.
YE Mar 2024,2023-04-01,2024-03-31,50,HO-2025Q1-NARRATIVE,"How many people come to the UK irregularly?, YE Mar 2025: 'Number of boats and people per boat' ('compared with 50 people per boat in the previous year')",2025-05-22,31079,625,49.726400,50,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,Page updated 25 June 2025.
YE Mar 2024,2023-04-01,2024-03-31,54,HO-2026Q1-NARRATIVE,Illegal entry routes YE Mar 2026: section 2.2 ('54 people per boat in the YE March 2024'),2026-05-21,31079,625,49.726400,50,False,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,"CONFLICT: does not match the calculation (49.7) or the Home Office's own YE Mar 2025 release (50 for YE Mar 2024). 54 matches YE Mar 2025, so this is probably a labelling error. Do not use."
YE Mar 2025,2024-04-01,2025-03-31,54,HO-2025Q1-NARRATIVE,"How many people come to the UK irregularly?, YE Mar 2025: 'Number of boats and people per boat' ('54 people per boat in the year ending March 2025')",2025-05-22,38023,700,54.318571,54,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,Page updated 25 June 2025. Jan-Mar 2025 later revised (IER note 5).
YE Jun 2024,2023-07-01,2024-06-30,51,HO-2025Q2-NARRATIVE,"How many people come to the UK irregularly?, YE Jun 2025: section 'Number of boats and people per boat' ('51 people per boat in the year ending June 2024')",2025-08-21,31493,616,51.125000,51,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,Page updated 20 October 2025.
YE Jun 2025,2024-07-01,2025-06-30,56,HO-2025Q2-NARRATIVE,"How many people come to the UK irregularly?, YE Jun 2025: 'Number of boats and people per boat' ('56 people per boat in the year ending June 2025')",2025-08-21,43309,768,56.391927,56,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,Jan-Jun 2025 data later revised (IER note 5).
YE Jun 2025,2024-07-01,2025-06-30,56,HO-2026Q2,Illegal entry routes YE Jun 2026: section 2.2 ('56 people per boat in the YE June 2025'),2026-08-27,43309,768,56.391927,56,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,
June 2025 (month),2025-06-01,2025-06-30,65,HO-2025Q2-NARRATIVE,"How many people come to the UK irregularly?, YE Jun 2025: 'The month of June 2025 saw an average of 65 people per boat'",2025-08-21,5170,80,64.625000,65,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,Described then as the highest monthly average on record.
September 2025 (month),2025-09-01,2025-09-30,71,HO-2025,"Illegal entry routes YE Dec 2025: section 2.2 ('September and November ... 71 people per boat, the highest monthly average on record')",2026-02-26,5084,72,70.611111,71,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,Repeated in YE Mar 2026 and YE Jun 2026 narratives.
November 2025 (month),2025-11-01,2025-11-30,71,HO-2025,Illegal entry routes YE Dec 2025: section 2.2 ('September and November ... 71 people per boat'),2026-02-26,2338,33,70.848485,71,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,Repeated in YE Mar 2026 and YE Jun 2026 narratives.
YE Mar 2026,2025-04-01,2026-03-31,63,HO-2026Q1-NARRATIVE,Illegal entry routes YE Mar 2026: section 2.2 ('63 people per boat in the YE March 2026'),2026-05-21,39271,623,63.035313,63,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,Page updated 16 July 2026.
FY 2025/26,2025-04-01,2026-03-31,63,BSC-2026,"Border Security Commander's annual report 2025 to 2026 (accessible HTML), section 'Impact of interventions in France and near neighbours' ('reaching a high of 63 in 2025/26'), footnote 35 cites the HO illegal entry routes release",2026-07-16,39271,623,63.035313,63,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,Financial year assumed April-March (same span as YE March 2026). Not an independent measurement.
YE Jun 2026,2025-07-01,2026-06-30,65,HO-2026Q2,Illegal entry routes YE Jun 2026: section 2.2 ('65 people per boat in the YE June 2026'),2026-08-27,33374,511,65.311155,65,True,HO-TABLES-2026Q2 IER_02a monthly values; people / boats over the same months,
