id,date,date_precision,attribute,value,unit,vessel_type,context,representativeness,source_id,claim_id,classification,confidence,notes
VES-E001,,undated_early_period,length,4-6,m,rigid hull inflatable (yacht tender type),Boats used 'when small boat crossings first began to increase' (evidence INQ010137),official_assessment,VES-CRANSTON-2026,VES-EARLY-BOATS,REPORTED_EVENT,MEDIUM,Not dated in source; do not assign to 2018/2019
VES-E002,,undated_early_period,occupancy_observed,16,persons (approx.),rigid hull inflatable (yacht tender type),Early tenders 'overloaded to carry around 16 people',official_assessment,VES-CRANSTON-2026,VES-EARLY-BOATS,REPORTED_EVENT,MEDIUM,Approximate
VES-E003,,undated_early_period,construction,"improvised craft: inflatable paddling pools, rowing boats, kayaks/water-sports equipment",,improvised,Instances in the early period,official_assessment,VES-CRANSTON-2026,VES-EARLY-BOATS,REPORTED_EVENT,MEDIUM,
VES-E004,,undated_early_period,occupancy_observed,14-16,persons (approx.),small boats (unspecified),Border Force witness: early boats crossed with about 14-16 people; 'as the small boats got bigger' numbers exceeded cutter capability,official_assessment,VES-CRANSTON-2026,VES-EARLY-BOATS,REPORTED_EVENT,MEDIUM,Para 6.29; 'got bigger' is the witness's characterisation
VES-E005,2021-03-09,day,length,8,m (approx.),semi-rigid,"Boat set out off Berneval-le-Grand (76), recovered and taken to Dieppe",single_incident,FR-NOTICE-2021-03-09,FR-NOTICE-2021-03-09,DOCUMENTED_EVENT,HIGH,'environ 8 mètres'
VES-E006,2021-03-09,day,occupancy_observed,33,persons,semi-rigid,"Berneval-le-Grand boat: 33 rescued (5 women, 10 children)",single_incident,FR-NOTICE-2021-03-09,FR-NOTICE-2021-03-09,DOCUMENTED_EVENT,HIGH,
VES-E007,2021-03-09,day,range,"departure attempt off Berneval-le-Grand (Seine-Maritime), landed at Dieppe",,semi-rigid,Seine-Maritime departure in 2021 by an ~8 m boat with 33 people,single_incident,FR-NOTICE-2021-03-09,FR-NOTICE-2021-03-09,DOCUMENTED_EVENT,HIGH,Evidence that departures far south of Calais predate the reported larger boats; distance travelled not stated
VES-E008,2021-03-09,day,length,8,m (approx.),semi-rigid,"Boat in difficulty off Calais, towed to Calais",single_incident,FR-NOTICE-2021-03-09,FR-NOTICE-2021-03-09,DOCUMENTED_EVENT,HIGH,
VES-E009,2021-03-09,day,occupancy_observed,28,persons,semi-rigid,Calais boat: 28 rescued,single_incident,FR-NOTICE-2021-03-09,FR-NOTICE-2021-03-09,DOCUMENTED_EVENT,HIGH,
VES-E010,2021-07,month,seaworthiness,flimsy plastic bottom of a boat gave way; occupants rescued by Border Force,,unspecified,Incident cited in NCA alert,single_incident,NCA-VESSELS-2021,VES-NCA-2021-ALERT,REPORTED_EVENT,MEDIUM,
VES-E011,2021-11,month,passenger_capacity,40-60,persons,boats supplied by a French OCG,French operation (NCA-supported) dismantled a group 'supplying boats able to carry between 40 and 60 people',official_assessment,NCA-VESSELS-2021,VES-NCA-2021-ALERT,REPORTED_EVENT,MEDIUM,"Capability description, not a certified rating"
VES-E012,2021-11,month,seaworthiness,several boats intercepted days before 24 Nov 2021 held together with gaffer tape,,inflatable,NCA alert,official_assessment,NCA-VESSELS-2021,VES-NCA-2021-ALERT,REPORTED_EVENT,MEDIUM,
VES-E013,2021-12-11,day,length,up to 10,m,"inflatable (grey/black, unbranded)","NCA: 'a trend towards larger inflatables, sometimes up to 10 metres' in recent months",official_assessment,NCA-VESSELS-2021,VES-NCA-2021-ALERT,REPORTED_EVENT,MEDIUM,"Maximum, not typical; see existing claim VESSELS-2021"
VES-E014,2021-12-11,day,supply_chain,"unbranded vessels with little or no commercial use, likely purpose-manufactured and sold online",,inflatable,NCA assessment; Interpol alert issued 29 Nov 2021,official_assessment,NCA-VESSELS-2021,VES-NCA-2021-ALERT,HYPOTHESIS,MEDIUM,Manufacturing country not stated
VES-E015,2021-12-11,day,construction,boats adapted/improvised with sub-standard materials to increase capacity and improve rigidity,,inflatable (modified),NCA alert,official_assessment,NCA-VESSELS-2021,VES-NCA-2021-ALERT,REPORTED_EVENT,MEDIUM,
VES-E016,2021-11,month,length,7.5,m (average),inflatable,Evidence to Cranston Inquiry: average length of vessels used in November 2021,official_assessment,VES-CRANSTON-2026,VES-CRANSTON-LENGTH,REPORTED_EVENT,MEDIUM,Averaging basis and sample not stated
VES-E017,2021-11,month,occupancy_observed,32,persons (average),inflatable,Evidence to Cranston Inquiry: average carried in November 2021,official_assessment,VES-CRANSTON-2026,VES-CRANSTON-LENGTH,REPORTED_EVENT,MEDIUM,Basis not stated; compare official Nov 2021 occupancy only from Home Office tables
VES-E018,2021,year_to_2021-11,length,small tenders up to 10,m,inflatable,MAIB background: majority of crossings in inflatables from small tenders to boats of up to 10 m,official_assessment,MAIB-REPORT-7-2023,VES-MAIB-2021-CONTEXT,REPORTED_EVENT,MEDIUM,Section 1.8
VES-E019,2021,year_to_2021-11,occupancy_observed,routinely 40-50; occasionally 80 or more,persons,"inflatable (larger, up to 10 m)",MAIB background on larger boats,official_assessment,MAIB-REPORT-7-2023,VES-MAIB-2021-CONTEXT,REPORTED_EVENT,MEDIUM,Relates to the larger boats in the range
VES-E020,2021,year_to_2021-11,construction,"often poor construction and substandard materials; many with no sign of a recognised manufacturer; no VHF, beacons, lights, flares or AIS",,inflatable,MAIB background ('It was reported that'),official_assessment,MAIB-REPORT-7-2023,VES-MAIB-2021-CONTEXT,REPORTED_EVENT,MEDIUM,
VES-E021,,period_not_stated,seaworthiness,96,% of crossings attempted when predicted wave height < 0.5 m,all small boats,Border Force data cited by MAIB (footnote 25),statistical_series,MAIB-REPORT-7-2023,VES-MAIB-2021-CONTEXT,REPORTED_EVENT,MEDIUM,Operating envelope of boats; period and denominator unknown; not an official statistic release
VES-E022,2021-11-24,day,length,8,m (MAIB estimate),inflatable,Boat lost 24 Nov 2021; size inferred from comparable boats (boat not available to MAIB),single_incident,MAIB-REPORT-7-2023,VES-MAIB-2021-BOAT,DOCUMENTED_EVENT,MEDIUM,Survivor told Cranston 'around eight metres' (para 8.27)
VES-E023,2021-11-24,day,construction,inflatable collar with four inflation points; wooden and metal rigid floor; flexible base,,inflatable,MAIB s1.5.2,single_incident,MAIB-REPORT-7-2023,VES-MAIB-2021-BOAT,DOCUMENTED_EVENT,MEDIUM,"Described, not examined"
VES-E024,2021-11-24,day,occupancy_observed,33,persons (approx.),inflatable,Approximately 33 on board; Cranston notes a survivor's belief that more boarded,single_incident,MAIB-REPORT-7-2023,VES-MAIB-2021-BOAT,DOCUMENTED_EVENT,MEDIUM,Uncertain count
VES-E025,2021-11-24,day,fuel,2,fuel containers (volume unknown),inflatable,"Reported equipment: two fuel containers, two manual pumps, handheld GPS",single_incident,MAIB-REPORT-7-2023,VES-MAIB-2021-BOAT,DOCUMENTED_EVENT,MEDIUM,'It was reported that'
VES-E026,2021-11-24,day,engine_type,petrol-powered outboard at the stern,,inflatable,Survivor evidence to Cranston Inquiry,single_incident,VES-CRANSTON-2026,VES-MAIB-2021-BOAT,REPORTED_EVENT,MEDIUM,Power not stated
VES-E027,2021-11-24,day,seaworthiness,after about 4 h the rigid floor damaged the flexible floor/sides; flooding; collar lost pressure; swamped,,inflatable,MAIB s1.3.2,single_incident,MAIB-REPORT-7-2023,VES-MAIB-2021-BOAT,DOCUMENTED_EVENT,MEDIUM,
VES-E028,2021-11-24,day,range,about 4,hours underway before structural failure (departed ~21:00 near Dunkirk),inflatable,Last reported position 51°09.045N 001°45.568E,single_incident,MAIB-REPORT-7-2023,VES-MAIB-2021-BOAT,DOCUMENTED_EVENT,MEDIUM,"Duration to failure, not endurance"
VES-E029,2021-11-24,day,length,8,m (aerial estimate),unspecified,"Coastguard helicopter R163 estimate of a third migrant boat, heading west, not in distress",single_incident,MAIB-REPORT-7-2023,VES-MAIB-2021-CONTEXT,DOCUMENTED_EVENT,MEDIUM,Night infrared estimate
VES-E030,2021-11-24,day,occupancy_observed,30,persons (aerial estimate),unspecified,Same R163 sighting,single_incident,MAIB-REPORT-7-2023,VES-MAIB-2021-CONTEXT,DOCUMENTED_EVENT,MEDIUM,
VES-E031,2021-11-24,day,fuel,engine running 'but with limited fuel remaining',,"black boat, 32 people","Caller report to Kent Police, incidents November/Oscar",single_incident,MAIB-REPORT-7-2023,VES-MAIB-2021-CONTEXT,REPORTED_EVENT,LOW,Caller claims were often exaggerated per MAIB s1.8
VES-E032,,before_2026-02-05,length,8-10,m (typical),inflatable,Evidence to Cranston Inquiry: vessels 'now typically 8 metres to 10 metres',official_assessment,VES-CRANSTON-2026,VES-CRANSTON-LENGTH,REPORTED_EVENT,MEDIUM,Date of 'now' unknown
VES-E033,,before_2026-02-05,construction,rubber tube barely 0.5 m high; plyboard/wooden transom often duct-taped; thin membrane deck reinforced with wood or metal to allow more people; not built to any recognised EU/UK standard,,inflatable,Cranston paras 3.25-3.29,official_assessment,VES-CRANSTON-2026,VES-CRANSTON-DESIGN,REPORTED_EVENT,MEDIUM,
VES-E034,,before_2026-02-05,engine_power,small outboard motor capable only of slow speeds; speed reduced by overcrowding or choppy seas,,inflatable,Cranston para 3.26,official_assessment,VES-CRANSTON-2026,VES-CRANSTON-DESIGN,REPORTED_EVENT,MEDIUM,No horsepower figure
VES-E035,,before_2026-02-05,seaworthiness,waves over 1 m likely to swamp; very little stability; puncture deflates whole boat,,inflatable,Cranston para 3.28,official_assessment,VES-CRANSTON-2026,VES-CRANSTON-DESIGN,REPORTED_EVENT,MEDIUM,
VES-E036,,before_2026-02-05,fuel,"fuel may leak from the engine, mix with seawater and cause burns",,inflatable,Cranston para 3.30,official_assessment,VES-CRANSTON-2026,VES-CRANSTON-DESIGN,REPORTED_EVENT,MEDIUM,No volumes
VES-E037,2022-12-14,day,length,7.4,m (length overall),inflatable,Boat 'Charlie' recovered and inspected,single_incident,MAIB-REPORT-9-2024,VES-MAIB-2022-BOAT,DOCUMENTED_EVENT,HIGH,
VES-E038,2022-12-14,day,occupancy_observed,47,persons (upper estimate),inflatable,"Survivors estimated 40-47; 43 recovered, 4 seen sinking",single_incident,MAIB-REPORT-9-2024,VES-MAIB-2022-BOAT,DOCUMENTED_EVENT,HIGH,
VES-E039,2022-12-14,day,construction,"four side chambers, bow chamber, inflatable keel; plywood transom glued and stapled; fabric floor glued/taped; plywood floor sections in metal frame (from other examples)",,inflatable,MAIB pp.6-7,single_incident,MAIB-REPORT-9-2024,VES-MAIB-2022-BOAT,DOCUMENTED_EVENT,HIGH,
VES-E040,2022-12-14,day,engine_type,"Chinese copy of a Yamaha two-stroke outboard; pull start, tiller, kill cord; in good working order",,inflatable,MAIB p.7,single_incident,MAIB-REPORT-9-2024,VES-MAIB-2022-BOAT,DOCUMENTED_EVENT,HIGH,Power rating not recorded
VES-E041,2022-12-14,day,fuel,at least 1,additional fuel tank (volume unknown),inflatable,Supplied with at least one additional fuel tank and a manual air pump,single_incident,MAIB-REPORT-9-2024,VES-MAIB-2022-BOAT,DOCUMENTED_EVENT,HIGH,
VES-E042,2022-12-14,day,seaworthiness,floor tear ~3.5 h into crossing; floorboards lost; tubes collapsed inward; judged poorly built compared with many others recovered; only one of similarly loaded boats that night to fail,,inflatable,"MAIB pp.3, 7, 8",single_incident,MAIB-REPORT-9-2024,VES-MAIB-2022-BOAT,DOCUMENTED_EVENT,HIGH,Selection: investigated because it failed
VES-E043,2022-12-14,day,range,"about 3.5 h after launch (~23:30, Calais-Dunkirk area); found ~14.6 nm NW of Boulogne",hours / nm,inflatable,Position 50°52.12'N 001°16.19'E,single_incident,MAIB-REPORT-9-2024,VES-MAIB-2022-BOAT,DOCUMENTED_EVENT,HIGH,
VES-E044,2022-12-14,day,range,2.84 (MAIB: 'approximately 3'),knots average speed,inflatable,3.6 nm in 76 min between GPS report and discovery,single_incident,MAIB-REPORT-9-2024,VES-MAIB-2022-SPEED,DERIVED_STATISTIC,MEDIUM,Formula distance/time; our haversine check 3.58 nm
VES-E045,2023-08-15,day,occupancy_observed,52,persons,dinghy,Overcrowded dinghy; passengers stood on makeshift flooring; pilot convicted at Winchester Crown Court,court_record,VES-GOVUK-2024-03-21,VES-GOVUK-2023-PILOT,REPORTED_EVENT,HIGH,
VES-E046,2023,year,supply_chain,around half,share of all Channel crossings using Savas-network equipment (NCA belief),boats and engines,NCA assessment in Savas case,official_assessment,VES-NCA-2026-01-07-SAVAS,VES-SAVAS-SUPPLY,REPORTED_EVENT,MEDIUM,Method not published
VES-E047,2019/2024,period,engine_type,"'Parsun'-branded outboards sourced from China, 'the type most frequently used by gangs'",,outboard,NCA: Savas was main importer 'at the time',official_assessment,VES-NCA-2026-01-07-SAVAS,VES-SAVAS-SUPPLY,REPORTED_EVENT,MEDIUM,No power rating
